;Francis reversible pump-turbine characteristic FR300T-Torrao a0=1_added
;a0=1 mm added (somehow created according to a0=4 mm and a0=2 mm), a0 closed added
;T11 at a0 closed taken from created a0=1
;Model Francis
;a0max = 38 mm
;y    N11    Q11    T11
<list>
a0	N11	Q11	T11
1	60.03132533	1.186432066	1392.076694
1	62.47687804	1.193462152	1382.650709
1	65.0074328	1.191244764	1341.129
1	67.52694828	1.200121555	1334.101025
1	69.92330656	1.198455231	1301.201351
1	72.39904587	1.198715741	1261.256379
1	74.96532384	1.205021456	1239.462531
1	77.4461599	1.206070722	1208.837378
1	79.04031073	1.208348549	1190.288489
1	80.49750817	1.210322149	1173.922685
1	81.98398928	1.211736492	1157.389192
1	83.57829641	1.213037778	1140.345266
1	85.01074825	1.215643229	1124.466198
1	86.59713007	1.217881877	1108.289745
1	87.99315817	1.221770766	1097.449441
1	89.398768	1.222733833	1081.806848
1	91.07898465	1.227104429	1064.02342
1	92.67348918	1.229761972	1050.248664
1	94.95475851	1.236055171	1030.796759
1	97.55949115	1.241706173	1008.606512
1	100.0093364	1.247794036	987.6229806
1	102.3861292	1.254237661	968.2576154
1	104.8429717	1.262905592	949.8852102
1	107.5761052	1.268003232	922.1275937
1	110.0403025	1.275042911	895.0196192
1	112.3447187	1.279519661	863.8256538
1	115.0895784	1.282265262	817.9720854
1	117.7452601	1.284546324	773.7582356
1	120.1095717	1.286092999	731.0223922
1	122.501318	1.284159179	682.6703517
1	125.227941	1.282962433	616.1760606
1	127.2853548	1.267724934	527.0683499
1	130.1421062	1.206044535	264.0930128
1	132.4775399	1.15514659	82.49632973
1	133.4310204	1.125820602	-1.914786107
1	134.8623203	1.053170104	-175.1175342
1	135.383326	0.978620686	-310.587165
1	135.3397485	0.885013268	-455.8900753
1	133.6860222	0.721282175	-649.0590745
1	126.101979	0.352276548	-911.2691382
1	113.4654763	-0.017647559	-834.3108637
1	113.0333851	-0.037851699	-894.1586954
1	112.3721548	-0.073965495	-944.2481992
1	111.9874413	-0.091773748	-966.0074674
1	111.4537991	-0.123975239	-1009.94988
1	110.9654857	-0.151819322	-1051.004713
1	110.6412353	-0.170863321	-1079.143141
1	110.2085578	-0.214240068	-1158.809565
1	110.2501674	-0.225623791	-1188.05
0.947368421	-103.7630188	-1.408744912	1506.149757
0.947368421	-102.7060279	-1.386145987	1479.938198
0.947368421	-97.73562653	-1.263081029	1364.862871
0.947368421	-94.47023532	-1.163542564	1288.944748
0.947368421	-91.98247752	-1.08192933	1229.156231
0.947368421	-89.56763122	-0.998038882	1168.172798
0.947368421	-87.53303454	-0.922692697	1110.869085
0.947368421	-85.76960911	-0.85693925	1059.737142
0.947368421	-83.87965143	-0.7852133	1000.723938
0.947368421	-82.57008323	-0.729280068	955.6261697
0.947368421	-81.47386756	-0.660515732	904.8768655
0.947368421	-85.59567728	-0.651882714	971.7913977
0.947368421	-85.06511588	-0.602175296	940.3693206
0.947368421	-84.50826511	-0.54259973	917.0936879
0.947368421	-82.84058618	-0.486795724	863.8048476
0.947368421	-82.04659613	-0.433446132	824.8446095
0.947368421	-81.3532008	-0.37880158	789.5727154
0.947368421	-80.92690599	-0.331092718	763.9438073
0.947368421	-80.40368179	-0.281499235	742.4761086
0.947368421	-79.60463643	-0.233032927	717.4435537
0.947368421	-78.75462392	-0.18292795	691.1920471
0.947368421	-77.96309454	-0.132983763	669.0757401
